Kjoretoytype,Kjoretoytype_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2012,2012,17368.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2013,2013,16879.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2014,2014,16434.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2015,2015,16139.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2016,2016,15738.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2017,2017,15563.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2018,2018,15332.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2019,2019,14862.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2020,2020,13871.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2021,2021,13870.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2022,2022,13442.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2023,2023,13191.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2024,2024,13077.0,
0,Kjøretøy i alt,2,Diesel,GjsnittKjorelengde,Gjennomsnittlig kjørelengde per kjøretøy (km),2025,2025,12868.0,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2005,2005,10.5,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2006,2006,11.8,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2007,2007,12.0,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2008,2008,12.5,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2009,2009,15.9,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2010,2010,15.7,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2011,2011,27.2,
0,Kjøretøy i alt,18,Elektrisitet,Kjorelengde,Kjørelengde (mill. km),2012,2012,64.3,
