Region,Region_label,Kjopegrupper,Kjopegrupper_label,PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M07,2012M07,134,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M08,2012M08,129,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M09,2012M09,114,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M10,2012M10,115,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M11,2012M11,107,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2012M12,2012M12,103,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M01,2013M01,101,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M02,2013M02,95,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M03,2013M03,107,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M04,2013M04,106,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M05,2013M05,117,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M06,2013M06,122,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M07,2013M07,131,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M08,2013M08,120,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M09,2013M09,110,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M10,2013M10,105,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M11,2013M11,95,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2013M12,2013M12,99,
0,Hele landet,00,Alle kjøpegrupper,03,Bilbensin,Petroleum,Salg,2014M01,2014M01,93,
