Energibalanse,Energibalanse_label,EnergiProdukt,EnergiProdukt_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1993,1993,28806.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1994,1994,28410.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1995,1995,28797.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1996,1996,30234.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1997,1997,30192.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1998,1998,31073.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),1999,1999,32672.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2000,2000,32039.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2001,2001,33933.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2002,2002,34237.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2003,2003,34789.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2004,2004,35943.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2005,2005,36542.0,
EB120201,12.2.1 Veitransport,EPTOT01,Alle energiprodukter,EnergibalansenGWh,Energibalansen (GWh),2006,2006,37645.0,
