TypeRegistrering,TypeRegistrering_label,DrivstoffType,DrivstoffType_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2006M12,2006M12,5,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M01,2007M01,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M02,2007M02,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M03,2007M03,3,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M04,2007M04,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M05,2007M05,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M06,2007M06,8,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M07,2007M07,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M08,2007M08,2,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M09,2007M09,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M10,2007M10,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M11,2007M11,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2007M12,2007M12,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M01,2008M01,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M02,2008M02,4,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M03,2008M03,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M04,2008M04,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M05,2008M05,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M06,2008M06,6,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M07,2008M07,52,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M08,2008M08,38,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M09,2008M09,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M10,2008M10,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M11,2008M11,11,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2008M12,2008M12,66,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M01,2009M01,0,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M02,2009M02,29,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M03,2009M03,29,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M04,2009M04,14,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M05,2009M05,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M06,2009M06,5,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M07,2009M07,6,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M08,2009M08,8,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M09,2009M09,5,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M10,2009M10,10,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M11,2009M11,7,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2009M12,2009M12,5,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M01,2010M01,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M02,2010M02,1,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M03,2010M03,42,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M04,2010M04,43,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M05,2010M05,40,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M06,2010M06,17,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M07,2010M07,11,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M08,2010M08,55,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M09,2010M09,49,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M10,2010M10,40,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M11,2010M11,30,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2010M12,2010M12,28,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M01,2011M01,112,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M02,2011M02,124,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M03,2011M03,248,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M04,2011M04,135,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M05,2011M05,146,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M06,2011M06,86,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M07,2011M07,43,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M08,2011M08,138,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M09,2011M09,211,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M10,2011M10,201,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M11,2011M11,338,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2011M12,2011M12,228,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M01,2012M01,257,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M02,2012M02,309,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M03,2012M03,321,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M04,2012M04,260,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M05,2012M05,305,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M06,2012M06,263,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M07,2012M07,256,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M08,2012M08,428,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M09,2012M09,573,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M10,2012M10,420,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M11,2012M11,314,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2012M12,2012M12,232,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M01,2013M01,337,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M02,2013M02,334,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M03,2013M03,343,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M04,2013M04,494,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M05,2013M05,348,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M06,2013M06,373,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M07,2013M07,278,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M08,2013M08,700,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M09,2013M09,1044,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M10,2013M10,925,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M11,2013M11,1438,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2013M12,2013M12,1274,
N,Nye kjøretøy,19,Elektrisk/nullutslipp,Personbiler,Personbiler,2014M01,2014M01,1099,
