PetroleumProd,PetroleumProd_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M11,2003M11,9.12,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2003M12,2003M12,8.88,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M01,2004M01,8.89,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M02,2004M02,9.25,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M03,2004M03,9.56,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M04,2004M04,9.54,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M05,2004M05,10.04,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M06,2004M06,9.93,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M07,2004M07,10.17,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M08,2004M08,10.13,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M09,2004M09,9.61,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M10,2004M10,10.06,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M11,2004M11,9.72,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2004M12,2004M12,9.55,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M01,2005M01,9.68,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M02,2005M02,9.83,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M03,2005M03,10.02,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M04,2005M04,10.66,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M05,2005M05,10.56,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M06,2005M06,10.66,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M07,2005M07,11.05,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M08,2005M08,11.06,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M09,2005M09,11.45,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M10,2005M10,11.23,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M11,2005M11,10.6,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2005M12,2005M12,10.72,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M01,2006M01,11.13,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M02,2006M02,11.13,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M03,2006M03,11.15,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M04,2006M04,11.7,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M05,2006M05,11.86,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M06,2006M06,11.87,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M07,2006M07,12.32,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M08,2006M08,12.27,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M09,2006M09,11.36,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M10,2006M10,11.03,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M11,2006M11,10.81,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2006M12,2006M12,10.84,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M01,2007M01,10.8,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M02,2007M02,10.92,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M03,2007M03,11.29,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M04,2007M04,11.66,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M05,2007M05,12.09,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M06,2007M06,12.06,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M07,2007M07,12.18,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M08,2007M08,11.9,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M09,2007M09,11.69,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M10,2007M10,11.39,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M11,2007M11,12.19,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2007M12,2007M12,12.02,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M01,2008M01,12.19,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M02,2008M02,12.27,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M03,2008M03,12.5,
031,"Bensin, blyfri 95 oktan",Priser,Priser (kr per liter),2008M04,2008M04,12.44,
