Kjopegrupper,Kjopegrupper_label,Produkter,Produkter_label,ContentsCode,ContentsCode_label,Tid,Tid_label,value,status
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2026M03,2026M03,12.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2026M04,2026M04,10.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2026M05,2026M05,15.0,
00,Alle kjøpegrupper,00,Alle produkt,Biodrivstoff,Sal av reint biodrivstoff,2026M06,2026M06,12.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M01,2021M01,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M02,2021M02,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M03,2021M03,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M04,2021M04,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M05,2021M05,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M06,2021M06,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M07,2021M07,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M08,2021M08,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M09,2021M09,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M10,2021M10,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M11,2021M11,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2021M12,2021M12,,..
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M01,2022M01,64.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M02,2022M02,64.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M03,2022M03,75.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M04,2022M04,76.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M05,2022M05,80.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M06,2022M06,90.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M07,2022M07,97.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M08,2022M08,88.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M09,2022M09,76.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M10,2022M10,72.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M11,2022M11,69.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2022M12,2022M12,71.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M01,2023M01,64.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M02,2023M02,65.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M03,2023M03,73.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M04,2023M04,74.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M05,2023M05,83.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M06,2023M06,88.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M07,2023M07,94.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M08,2023M08,83.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M09,2023M09,73.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M10,2023M10,74.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M11,2023M11,65.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2023M12,2023M12,71.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2024M01,2024M01,64.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2024M02,2024M02,65.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2024M03,2024M03,69.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2024M04,2024M04,68.0,
00,Alle kjøpegrupper,01,Bilbensin,Total,Totalt sal,2024M05,2024M05,80.0,
